# dotfiles-Offense/install/offensive-packages.txt
# ──────────────────────────────────────────────────────────────────────────────
# The offensive tool layer for Kali (apt). The Core modern-CLI stack lives in
# the normal install/packages.txt; THIS file is the role layer on top of it.
# bootstrap.sh installs these AFTER the OS + Core layers.
#
# Most are in Kali's repos (`sudo apt install <pkg>`). The handful that aren't
# packaged (or move faster than the repo) are flagged → install via their own
# upstream method, same pattern Core already uses for starship/atuin on some
# distros.
#
# ⚠ Authorized engagements only. Installing ≠ permission to use.
# ──────────────────────────────────────────────────────────────────────────────

# ── Network / Active Directory ────────────────────────────────────────────────
netexec              # nxc — successor to CrackMapExec (CME archived 2023)
#                     statsgen/maskgen/policygen/rulegen and NO kwp — see the next line.
# kwp               → UPSTREAM (github.com/hashcat/kwprocessor): the keyboard-walk
#                     generator, hashcat's own tool and not part of PACK. hacktheplanet's
#                     `kwp basechars/… keymaps/… routes/…` invocation is verbatim
#                     kwprocessor; following a pointer to iphelix/pack lands you in a repo
#                     that does not contain it.
# hate_crack        → UPSTREAM (github.com/trustedsec/hate_crack): chains dict → rules
#                     → mask automatically. Referenced as a comment in hacktheplanet.
evilginx2            # AitM reverse-proxy phishing framework — the `aitm-phish` corpus entry.
#                    # Its lines are typed at the `evilginx>` console, not at a shell.
#                    # ⚠ credential-harvesting infrastructure — written ROE and an authorized
#                    # engagement, never a lab shortcut. (Installing it is still fine; see this
#                    # file's header — installing ≠ permission to use.)
#                    # MOVED HERE from the "Operator-side tooling, not in apt" block, where it was
#                    # annotated `→ UPSTREAM (go install or release binary)`. Both the pointer and
#                    # the block membership were wrong: kali-rolling ships `evilginx2`
#                    # (3.3.0+ds1-0kali1), which IS upstream's latest release (v3.3.0, Apr 2024),
#                    # so building it by hand bought nothing. Same error class as caldera and
#                    # name-that-hash above — a manifest that sends you upstream for something apt
#                    # already carries. No kali-linux-* metapackage short of
#                    # kali-linux-everything pulls it (not default, not large), so a normal box
#                    # really does need this line.

# ── Operator-side tooling, not in apt ─────────────────────────────────────────
# These run on the ATTACKER box (unlike the target-dropped block below) and have no Kali
# package. Most are invoked by a red corpus entry — they were unaccounted until
# test/check-corpus-commands.sh started resolving corpus commands (#208), the same class
# of gap that let `impacket-petitpotam` ship. A few (sccmhunter, pxethiefy) are named by
# hacktheplanet rather than the corpus, which is the same accounting obligation: this file
# accounts for every tool the DOCS *and* the corpus name (see the target-dropped block).
# MSOLSpray         → UPSTREAM (github.com/dafthack/MSOLSpray, PowerShell): the M365/Entra
#                     password spray in `valid-accounts-cloud`. Operator-side but
#                     WINDOWS-side, like AADInternals above — nothing to install on Linux.
# tfc-agent         → UPSTREAM (HashiCorp release binary): the Terraform Cloud agent, run
#                     on infrastructure YOU control so a workspace's runs execute where you
#                     can read them (`tfc-agent-hijack`). NOT target-dropped, which is why
#                     it sits here — it corrects this file's older claim that the Terraform
#                     Cloud entries are pure REST.
# sccmhunter        → UPSTREAM (github.com/garrettfoster13/sccmhunter, NOT on PyPI):
#                     `pipx install git+https://github.com/garrettfoster13/sccmhunter/`.
#                     The SCCM/MECM site-takeover + NAA-extraction toolkit in hacktheplanet's
#                     SCCM fold. Two gotchas that make the difference between it installing
#                     and not: the binary is `sccmhunter.py`, not a bare `sccmhunter`, and
#                     pyproject pins its ldap3 to the ly4k fork via [tool.uv.sources], which
#                     pip/pipx IGNORE — so the README venv route (requirements.txt) is the
#                     fallback when the pipx one misbehaves. Wants Python >= 3.13. This is
#                     why it is NOT wired into --install like ROADtools: a git+URL with a
#                     Python floor and a silently-dropped dep pin is a best-effort loop that
#                     fails quietly, and a documented manual step beats that. See #230.
# pxethiefy         → UPSTREAM (github.com/csandker/pxethiefy, git clone + a venv):
#                     the Linux PXE-boot-media credential thief in the same SCCM fold (the
#                     lighter cousin of MWR's Windows PXEThief). Single script, needs
#                     CAP_NET_RAW. The recovered blob cracks with hashcat -m 19850.

# ── Target-dropped enumeration (nothing to install HERE) ──────────────────────
# These run ON the target, not on the attacker box, so they're per-engagement
# downloads rather than apt packages. Listed only so the manifest accounts for
# every tool the DOCS *and* the COMPANION CORPUS name — ~/companion is symlinked
# and `htpx` is a first-class alias, so a corpus command an operator can `clip`
# is as load-bearing as a line in hacktheplanet:
# linpeas.sh        → UPSTREAM (github.com/peass-ng/PEASS-ng, release artifact):
#  / winPEAS          the automated privesc enumerators in hacktheplanet's Linux
#                     and Windows privesc folds. Fetch the release build per
#                     engagement — don't vendor a stale copy.
# pspy              → UPSTREAM (github.com/DominicBreuker/pspy, release binary): watch
#                     processes and cron fire WITHOUT root. The manual counterpart to
#                     linpeas in ippsec's privesc loop, which names the two together.
#                     ⚠ THE PACKAGING NOTE IS NARROWER THAN IT LOOKS. Kali DOES have a `pspy`
#                     package (1.2.1-0kali1 = upstream's latest release), so this block's blanket
#                     premise — "per-engagement downloads rather than apt packages" — is not true
#                     of pspy. The CONCLUSION still holds, and for a sharper reason than the block
#                     header gives: what apt ships is a Debian Go build for the HOST arch,
#                     dynamically linked (`Depends: libc6`, /usr/bin/pspy + the Go source under
#                     /usr/share/gocode). What you upload to a target is upstream's STATIC
#                     pspy32/pspy64 release binary, which runs on a box whose arch and libc you do
#                     not control. So apt's copy is for watching YOUR OWN box; the release binary
#                     is still the per-engagement download. Fetch it upstream — that part was
#                     right, just not because "there is no package".
# PowerUp.ps1       → APT, via the `powersploit` package — NOT an upstream fetch. This entry
#                     said "UPSTREAM (PowerSploit …)", but kali packages it
#                     (3.0.0+git20200817-0kali1) and drops the script at
#                     /usr/share/windows-resources/powersploit/Privesc/PowerUp.ps1. That is the
#                     SAME pattern as mimikatz above: a Linux package whose payload is Windows
#                     content you copy to the target, not something you run here. Deliberately
#                     still not an apt line — `powersploit` is pulled in by kali-linux-headless,
#                     so it is ALREADY on a default Kali box, and nothing in this layer invokes
#                     it — but "go fetch it from GitHub" was wrong.
#                     Invoke-AllChecks in the Windows privesc fold. PowerSploit itself is
#                     ARCHIVED (unmaintained since 2020). Kept because the checks still hold;
#                     winPEAS covers the same ground on a modern box. itm4n's PrivescCheck is
#                     the maintained analogue of Invoke-AllChecks and is CONSIDERED AND NOT
#                     LISTED for the same reason trufflehog is above: no doc names it, and this
#                     block accounts for what the docs and the corpus name. winPEAS is the
#                     alternative offered here meanwhile — a broad enumerator, not a targeted
#                     PowerShell check set, so the gap is real rather than covered. The doc edit
#                     is the prerequisite.
# PrintSpoofer64.exe→ UPSTREAM (github.com/itm4n/PrintSpoofer, release binary): the spoolss
#                     named-pipe SeImpersonate -> SYSTEM path in the Windows privesc fold.
#                     NOTE: upstream ARCHIVED (read-only since Sep 2024; last push 2020-09-10).
#                     Keep it — SeImpersonate -> SYSTEM is a Windows PRIVILEGE MODEL, not a bug
#                     someone will patch out, so a 2020 binary still fires. Annotated for the same
#                     reason mitm6 above is: this was the last unmarked freeze in the block, an
#                     omission rather than a judgement. GodPotato below is the live alternative
#                     when spoolss is disabled, not a replacement for this one.
# GodPotato         → UPSTREAM (github.com/BeichenDream/GodPotato, release binary): the DCOM
#                     variant of the same abuse, for when spoolss is disabled. Pick the build
#                     matching the target's .NET version (GodPotato-NET2/3.5/4).
#                     Both arrive from the corpus, inside hacktheplanet's `# companion:gen
#                     potato-seimpersonate` block — which is why they were doc-named AND
#                     corpus-named while this block still went without them.
# mimikatz is NOT listed here — it IS an apt package (see Credential attacks above);
# apt just puts Windows binaries in /usr/share/windows-resources/ for you to drop.
# AADInternals is NOT listed here either — it's operator-side external recon, not
# target-dropped, so it sits with the other M365 tools under Recon / OSINT above.
# The evasion doc's payload-BUILD tooling is NOT listed here either, and is not
# target-dropped: macro_pack (offensive/evasion:30), PowerUpSQL (:124), and the
# Donut / sRDI / ConfuserEx / ScareCrow loaders (:62-63) run operator-side to produce
# an artifact, and most of them need WINDOWS to do it — a lab Windows VM is the real
# prerequisite, so they are named here for the accounting and shipped nowhere.
# ⚠ "None is in Kali apt" is what this paragraph used to say, and it is NOT true —
# `donut` is packaged (1.1-0kali3+b1, /usr/bin/donut) and is the one member of the set
# whose generator runs natively on LINUX, so `sudo apt install donut` really does get
# you it. It stays unlisted as a judgement (the evasion doc names it; nothing in this
# layer invokes it) rather than because apt cannot supply it. The rest genuinely are
# absent: macro_pack, PowerUpSQL, sRDI, ConfuserEx and ScareCrow all return nothing.
# Their UPSTREAM statuses, which this block carried for none of them:
#   macro_pack   ARCHIVED — read-only, last push Aug 2024.
#   ScareCrow    ARCHIVED — read-only, last push Aug 2023.
#   Donut        alive — commits into 2025.
#   sRDI         static — NOT archived, but untouched since Nov 2023.
#   ConfuserEx   ⚠ USE THE `mkaring` FORK (github.com/mkaring/ConfuserEx, alive into 2024).
#                The canonical `yck1509/ConfuserEx` is ARCHIVED and has not moved since
#                2019, so a bare "ConfuserEx" pointer lands a reader in a dead repo —
#                exactly the failure the kwp-vs-iphelix/pack note above exists to prevent.
# ARCHIVED does not mean unusable here: these build artifacts against Windows formats that
# have not changed, so they still produce working output. It means nobody is fixing them
# when a format, a .NET runtime or a signature finally does move — which for evasion
# tooling is the half that ages fastest. Budget for replacing them, not for repairing them.
# The exploitdev doc's WINDOWS DEBUGGER STACK is the same case and gets the same
# treatment: Immunity Debugger + mona.py, x64dbg and WinDbg (offensive/exploitdev:21-26)
# are invoked by name throughout that file, all run on the lab Windows VM, and none is in
# Kali apt. Only the LINUX half of that stack is packaged, and it is already accounted for
# — see the `gdb` line under "Fold-primary tools Kali does NOT ship by default" above, whose
# own comment puts pwndbg/GEF on the lab-setup side of the line. Named here so the
# doc→manifest accounting is complete; nothing to install on this side either way.
# The corpus' Impact entries (inhibit-recovery-vssadmin, service-stop-preransom,
# ransomware-encrypt-files, resource-hijack-xmrig) drive Windows BUILT-INS on the
# target — vssadmin, wbadmin, bcdedit, sc, taskkill. Nothing to install, and the
# one third-party binary they name (xmrig) is deliberately not shipped here.

# ── Pivoting / tunneling ──────────────────────────────────────────────────────
proxychains4
chisel
ligolo-ng            # modern reverse-tunnel pivot. The "(upstream if repo build lags)" hedge that
#                    # was here is gone: kali tracks this one closely (0.9.1-0kali1 landed within
#                    # ~2 weeks of upstream's v0.9.1), so the hedge invited an upstream build that
#                    # is almost never warranted — and hand-built pivots are exactly the thing you
#                    # do not want diverging from the implant you tested with.
socat
rlwrap               # readline wrapper for the reverse-shell listener (rlwrap nc -lvnp …); ships in kali-linux-default, list it for slim installs

# ── Notes / reporting (keep findings OUT of this repo — see offensive.zsh) ─────
# Engagement data → $ENGAGEMENTS_DIR (~/engagements), gitignored as a backstop.
